full_text,text_clean
JUJUR IYA kalo bisa ngaku ngaku aja udah nikah Karena gue pernah ditanya supir jaklingko mereka berdua gitu dan posisinya emg udah maghrib di angkot penumpangnya cuma 3 trus tu bapak2 berdua ngotot bgt bercandain pengen anter pulang kalo blom nikah ada dong kesempatan KEK,jujur aku aku nikah tanya supir jakarta lingko dua gitu posisi memang sudah maghrib angkot tumpang terus bapak dua ngotot banget bercandain antar pulang blom nikah sempat kayak
Kalo pake app jaklingko masih bisa berarti,pakai aplikasi jakarta lingko arti
Kalo ga ada kartu2 gitu pake app JakLingko membantu mas Bisa untuk beli tiket Trans Jakarta jugaa,tidak kartu gitu pakai aplikasi jakarta lingko bantu beli tiket trans jakarta jugaa
parkiran gedungnya diperbaikin soalnya ada video bus mentok krn desain awalnya tingginya buat minibus kyk jaklingko,parkir gedung baik soal video mentok desain awal tinggi minibus kayak jakarta lingko
Udah jaklingko bisanya fello doang ini mrt ikut mempersulit Yang bagus malah jadi purba Gak asik lah,jakarta lingko bisa fello doang mass rapid transit ikut sulit bagus jadi purba asik
uang ku ke ketilep waktu ngisi saldolewat jaklingko mana ngga balik balik wakakakakakakak gapapa dahh,uang ketilep waktu isi saldolewat jakarta lingko balik balik wakakakakakakak gapapa dahh
kalau jaklingko aku gapunya kartunya pake flazz apa bisa,jakarta lingko punya kartu pakai flazz
utk kedepannya mungkin bisa dimulai dibikin stasiun JIS dan komuter ditambah utk Kota St Tj Priok jumlah dan intensitasnya dan untuk transjakarta jaklingko jg ditambah rute rute nya ke JIS mungkin itu aja sarannya dulu Transjakarta,depan mulai bikin stasiun komuter tambah kota trans jakarta priok jumlah intensitas transjakarta jakarta lingko tambah rute rute saran transjakarta
kokas sih ada ojju tawan nany terus ada boost jugaa tapi kalo karoeke kita naik transjakarta atau gak jaklingko,kokas ojju tawan tanya terus boost jugaa karoeke naik transjakarta jakarta lingko
saya naik jaklingko lenteng agung andara kwk 837 bagus tapi karena depannya tidak mau berhenti di halte sebelum kahfi II meskipun kosong kalau tidak salah no kwk 835 tolong ditindak oknum tidak berhenti kalau lewat maghrib salah seperti kwk 835 liat aja cctv mesin tap,naik jakarta lingko lenteng agung andara bagus depan henti halte kahfi kosong salah tindak oknum henti lewat maghrib salah lihat cctv mesin
setuju ka contohnya aja ni ya pak anies percyaa diri membuat JakLingko untuk mempermudah transportasi rakyatnya klo mau kemana2,tuju kakak contoh anies percaya buat jakarta lingko mudah transportasi rakyat kalau
pengen pengalaman awikwok di jaklingko konteksnya gw lg plg dari citraland bareng ortu naek jaklingko dan kbtulan emg hobi duduk dibelakang nah gak lama kemudian si Dia naek dan duduk depan depanan ama gua kyk gini Dia ini udah tua banget kyknya ad 1 5x gua,alam awikwok jakarta lingko konteks paling citraland bareng orang tua naik jakarta lingko betul memang hobi duduk belakang naik duduk depan sama kayak gin banget kayak
Maksudnya di app jaklingko itu,maksud aplikasi jakarta lingko
gue setuju ka pak anies percaya diri dengan prorgam yg dibuatnya bisa memudahkan rakyatnya beraktivitas contohnya kartu JakLingko ka,tuju kakak anies percaya prorgam buat mudah rakyat aktivitas contoh kartu jakarta lingko kakak
Transjakarta jaklingko B 1317 VT 52 kalideres muara angke supir nya judes orang tua yang punya masalah dilutut tidak boleh dudul di bangku prioritas malah di suruh duduk di belakang dulu t9long supir nya dikasih edukasi ini udah kali 2 nya,transjakarta jakarta lingko bahasa kalideres muara angke supir judes orang punya masalah lutut dudul bangku prioritas suruh duduk belakang long supir kasih edukasi kali
Trayek jaklingko,trayek jakarta lingko
wkwk kal haid gni bgt nunggu jaklingko lama aja nangis,tertawa haid begini banget nunggu jakarta lingko menang
btw pake app jaklingko bisa semua qris gaes agak lebih ribet dari mrt j sih tapi yang penting bisa naik kalo lagi ga ada e money,ngomong-ngomong pakai aplikasi jakarta lingko qris guys ribet mass rapid transit penting naik tidak money
Kan gue 1 Jaklingko bareng bocil cwo Nah dia ini ngomong trus ya gue ladenin aja sambil liat2 art Sakura Trus dia blg eh itu Sakura ya pacarnya Naruto Aku blg engga ini Sakura pacarnya Sasuke Naruto jomblo canda Dia kekeh Sakura pacar Naruto,jakarta lingko bareng bocil bicara terus ladenin lihat sakura terus bilang sakura pacar naruto bilang engga sakura pacar sasuke naruto punya pacar canda kekeh sakura pacar naruto
Mending banyakin TMB TMS dan sejenisnya abis gitu angkot2 ditertibin bikin yg terintegrasi kayak jaklingko lalu halte2 benerin lagi dan wajib naik turun tmb tuh dr halte gitu bisa gak sih Biar nyaman gitu kita teh naik transportasi umum di Bandung ya kann,lebih baik banyakin jenis habis gitu angkot ditertibin buat integrasi jakarta lingko halte benerin wajib naik turun halte gitu nyaman gitu kakak perempuan naik transportasi umum bandung kann
ril pusing lemes msh di jaklingko yh pen tidur bgt,pusing lemes jakarta lingko ken tidur banget
Transjakarta halo min tolong donggg ini ditindak jaklingko 29 jurusan tj priok sukapura kartu jaklingko nya yg memang ga bisa ditap tapi supir nya marah marah sama saya dan ngomong yg ga enakin,transjakarta halo donggg tindak jakarta lingko jurus trans jakarta priok sukapura kartu jakarta lingko tidak tap supir marah marah bicara tidak enakin
taman langsat gratis taman literasi gratis ragunan jalan kaki sekitar fatmawati banyak makanan n exhibition di cipetenya naik jaklingko aja kalo cape gultik blok m cobain naik mrt gabut lebak bulus blok m gt wAKAKAK museum polri modern bgt cibis park,taman langsat gratis taman literasi gratis ragunan jalan kaki fatmawati makan exhibition cipetenya naik jakarta lingko jika lelah gultik blok cobain naik mass rapid transit bosan lebak bulus blok wakakak museum polri modern banget cibis park
apa maksudnya supir jaklingko 31 ngelambai2 dan menolak gue naik pdhl kosong padahal gue nyetop sesuai titik di gmaps halte depan hotel losari Transjakarta,maksud supir jakarta lingko ngelambai tolak naik padahal kosong nyetop sesuai titik gmaps halte hotel losari transjakarta
Hai Kak Bisa ya naik MRT Jakarta menggunakan aplikasi JakLingko Terima kasih,naik mass rapid transit jakarta guna aplikasi jakarta lingko terima kasih
satu jaklingko sm dosen wkwk,satu jakarta lingko sama dosen tertawa
Sekarang Jaklingko ada versi mobil Carry gini ya,jakarta lingko versi mobil carry gin
Hai Kak Untuk dapat naik MRT Jakarta Kakak dapat mengunakan kartu uang elektronik bank seperti JakLingko E Money Bank Mandiri Brizzi Bank BRI TapCash Bank BNI Flazz Bank BCA JakCard Bank DKI dan KMT Commuterline,naik mass rapid transit jakarta kakak guna kartu uang elektronik bank jakarta lingko money bank mandiri brizzi bank tapcash bank flazz bank jakcard bank commuterline
Hai Kak Terkait informasi penjualan kartu JakLingko silakan menghubungi media sosial JakLIngko ya Kak Terima kasih,kait informasi jual kartu jakarta lingko sila hubung media sosial jakarta lingko terima kasih
Selamat siang Kak Untuk Kartu JakCard amp Jaklingko terbitan Bank DKI belum dapat digunakan utk perjalanan Commuterline Silakan dapat menggunakan Kartu Multi Trip KMT kartu uang elektronik bank Brizzi E Money Flazz Tapcash atau aplikasi Gojek pada menu Go Transit Tks,selamat siang kartu jakcard jakarta lingko terbit bank guna jalan commuterline sila guna kartu multi trip kartu uang elektronik bank brizzi money flazz tapcash aplikasi gojek menu transit terima kasih
Gak bisa masuk Jaklingko,masuk jakarta lingko
hallo kak apakah jakcard bank DKI dan jaklingko bank DKI bisa dipakai naik kreta,hallo jakcard bank jakarta lingko bank pakai naik kreta
Transjakarta Nepi 5 tahun gee cuma omdo ungkul jeung emangna Pemda jeung Pemkot hayang ngasih subsidi bensin lewih TJ jeung Jaklingko teh make subsidi pemprov,transjakarta nepi tahun omdo ungkul jeung emangna perintah daerah jeung perintah kota hayang beri subsidi bensin lewih trans jakarta jeung jakarta lingko kakak perempuan make subsidi pemprov
tolong di edukasi lagi petugasnya mengenai aplikasi jaklingko Transjakarta masa mau keluar aja dipersulit mana responnya jutek bgt lg padahal dia nya aja yg ga ngerti,edukasi tugas kena aplikasi jakarta lingko transjakarta masa keluar sulit responnya galak banget saja tidak erti
Restu Beliin lah satu kartu jaklingko wkwkwk,restu belikan satu kartu jakarta lingko wkwkwk
Hai Kak BIsa ya Pembelian tiket MRT Jakarta menggunakan aplikasi JakLingko Terima kasih,beli tiket mass rapid transit jakarta guna aplikasi jakarta lingko terima kasih
info detail bisa hubungi jaklingko ya Kak Terima kasih,informasi detail hubung jakarta lingko terima kasih
kartu jelajah hijau bisa buat jaringan jaklingko TJ ato cuma buat MRT om,kartu jelajah hijau jaring jakarta lingko trans jakarta mass rapid transit
Hai Kak Untuk informasi detail mengenai kartu JakLingko dapat menghubungi media sosial JakLingko ya Kak Terima kasih,informasi detail kena kartu jakarta lingko hubung media sosial jakarta lingko terima kasih
jkt Lah bukannya Jaklingko dulu perubahan dari OK Otrip setelah Bang Sandi ga jadi Wagub Inisiasi awal OK Otrip kan,jakarta jakarta lingko ubah otrip sandi jadi wagub inisiasi awal otrip
Transjakarta kalo mau rekrut driver jaklingko yang bener dong 80 pelayanan ke customer gaada ramah nya malah songong banget,transjakarta rekrut driver jakarta lingko benar layan customer ada ramah sombong banget
Capek lari lari ngejar jaklingko,cape lari lari ngejar jakarta lingko
jkt DP Rp 0 tuh bukannya Samawa ya nama programnya JakHabitat lebih ke hunian yg berbasis TOD kan ya Btw soal JakLingko di angkot Mikrotrans juga udah diilangin logonya yg biasa di bagian pintu depan diganti logo Transjakarta,jakarta samawa nama program jakhabitat huni bas ngomong-ngomong soal jakarta lingko angkot mikrotrans diilangin logo bagi pintu ganti logo transjakarta
Kartu Flazz Jaklingko masih ada jual di vending machine Transjakarta,kartu flazz jakarta lingko jual vending machine transjakarta
jkt produk gacoan soalnya ini ngeganti jaklingko bisa kena babat,jakarta produk gaco soal ngeganti jakarta lingko kena babat
apa gada angkot jurusan jakarta singapur biar bs pk jaklingko,ada angkot jurus jakarta singapur bisa jahat kelamin jakarta lingko
Transjakarta Biasanya mesin yg jadul ga support emoney ada jg yg baru yg ga support karena error Keduanya jika memang terkendala kita tap pake kartu emoney terbitan bank mandiri baik yg berlogo jaklingko maupun tidak Maka sama2 tidak akan terbaca Itu yg disebut masalah TOB,transjakarta mesin jaman dulu support emoney baru tidak support error dua kendala pakai kartu emoney terbit bank mandiri baik logo jakarta lingko baca yang sebut masalah
target selanjutnya JakLingko ya nanti namanya di ganti jadi jaringan jalan kendaraan di singkat jadi JAJARAN,target lanjut jakarta lingko nama ganti jadi jaring jalan kendara singkat jadi jajar
jkt target selanjutnya JakLingko jadi rute terpadu masyarakat,jakarta target lanjut jakarta lingko jadi rute padu masyarakat
Yh tp enih gbs buat jaklingko sedih,enih bisa jakarta lingko sedih
Hai kak Untuk pembelian kartu Jaklingko dapat dilakukan di halte Transjakarta yang sudah tersedia Vending machine Berikut lokasi vending machine yang tersedia di halte Transjakarta Terima kasih DPS,beli kartu jakarta lingko laku halte transjakarta sedia vending machine ikut lokasi vending machine sedia halte transjakarta terima kasih
Hai Kak Mohon maaf atas kendala yang dialami mengenai saldo terpotong 2 kali silakan laporkan ke nomor Customer Care JakLingko yang dapat di hubungi Whatsapp 0812 6000 1440 Phone 021 29223034 Email customercare co id Terima kasih DPS,mohon maaf atas kendala alami kena saldo potong kali sila lapor nomor customer care jakarta lingko hubung whatsapp phone email customercare terima kasih
jkt Dapet info dari supir jaklingko kalo dibulan agustus logonya bakal diganti,jakarta informasi supir jakarta lingko bulan agustus logo bakal ganti
jkt Dan paling ketauan niatnya kalo sampe diganti Jaklingko ini udah banyak bgt yg ngenalin terutama sbg angkot gratis walaupun sbnrnya jaklingko itu sistem integrasi pembayaran transportasi jkt belum lg soal kartu dan logonya selalu nempel dimana2,jakarta tahu niat sampai ganti jakarta lingko banget ngenalin utama angkot gratis benar jakarta lingko sistem integrasi bayar transportasi jakarta soal kartu logo nempel
jkt postingan2 di akunnya juga udah gak pernah pake logo jaklingko lagi,jakarta postingan akun pakai logo jakarta lingko
jkt Tapi brandingannya dikurangin dulu naik mikrotrans diajak buat pake kartu berlogo jaklingko sekarang udah promoin naik mikrotrans pake emoney biasa,jakarta brandingannya rangin naik mikrotrans ajak pakai kartu logo jakarta lingko promoin naik mikrotrans pakai emoney
Jaklingko jadi Angkutan Umum Terpadu Gratis,jakarta lingko jadi angkut umum padu gratis
Kos2an listrik max 1 5jt Lain2 jajan skincare 1jt Transportasi cari max 10k hari jd cari kos2an dekat via krl jaklingko free TJ Jalan kaki lebih baik 300k Ortu 800k Tabungan 1 jt Total 6 1 Masih ada sisa,listrik jajan skincare transportasi cari ribu hari jadi cari jakarta lingko bebas trans jakarta jalan kaki baik ribu orang tua ribu tabung total sisa
Segenap jajaran Dewan Komisaris Direksi dan Karyawan PT Bank DKI mengucapkan selamat ulang tahun ke 15 PT MRT Jakarta Jangan lupa gunakan JakCard Bank DKI dan JakLingko sebagai tiket perjalanan MRT Jakarta kamu BankDKI MRTJakarta JakCard JakLingko,segenap jajar dewan komisaris direksi karyawan bank ucap selamat ulang tahun mass rapid transit jakarta lupa guna jakcard bank jakarta lingko tiket jalan mass rapid transit jakarta bankdki mrtjakarta jakcard jakarta lingko
Cari kos maks 1 5 jt biasanya non ac cari yg sediain kipas kulkas dapur air pdam Terus masak aja kalau ga masak nasi lauk beli Habis tu mobilitas pake angkot jaklingko bisa 0 rupiah atau busway Bakalan hemat selebihnya tahan godaan beli ini itu,cari maks cari ain kipas kulkas dapur pdam terus masak tidak masak nasi lauk beli habis mobilitas pakai angkot jakarta lingko rupiah busway hemat lebih tahan goda beli
Jaklingko adalah hasil dari ketangguhan yang dilakukan oleh Pak Anies,jakarta lingko hasil tangguh laku anies
mama Dari semua daerah Deket Jakarta banyak yang angkot bermasalah Jadi harus objektif lu ga tau ajah ya proses utk pembentukan JAKLINGKO ini dulu bnyk penolakan dari sopir angkot terus karena diketahui proyek nya bakal menghasilkan banyak manfaat dan juga mensejahterakan baru deal,daerah dekat jakarta angkot masalah jadi objektif kamu tahu ajah proses bentuk jakarta lingko banyak tolak sopir angkot terus tahu proyek bakal hasil manfaat sejahtera baru deal
Disini aja dalam komplek militer Klo masuk musti ninggal KTP Klo gak mau ninggal KTP naik JakLingko cc,komplek militer kalau masuk mesti ninggal kalau ninggal naik jakarta lingko
wahyu Susah gabisa maju pola pikir orang2 sini wkw awal jaklingko dicetuskan aja banyak preman2 dan pengusaha angkot metromini or kopaja yg ngamuk2 Padahal dengan mereka gabung justru win win solution Sopir gk perlu cape ngejar setoran trs pengusaha gaperlu pusing sama c,wahyu susah bisa maju pola pikir orang awal jakarta lingko cetus preman usaha angkot metromini kopaja ngamuk gabung solution sopir perlu lelah ngejar setor terus usaha gaperlu pusing
kalo lebarin jalan kelamaan buat pembebasan lahannya aja bisa tahunan blm berantam buat persetujuan anggaran paling bener jaklingko diperbanyak bisa masuk ke kampung2,lebarin jalan lama bebas lahan tahun rantam tuju anggar benar jakarta lingko banyak masuk kampung
Td tb2 ada ibu2 nyamperin wkt lg nggu jaklingko Ibunya blg blm makan sakit maag dan cm minum air putih dr kemarin Badannya gemeteran YaAllah,tadi nyamperin waktu nggu jakarta lingko ibu bilang makan sakit maag cuma minum putih kemarin badan gemeteran allah
Kenapa ya tangsel ga punya buswaynya sendiri atau minimal jaklingko deh,tangsel punya buswaynya minimal jakarta lingko
pp aja nyambung jaklingko,pulang pergi nyambung jakarta lingko
Di Jakarta Utara kebantu banget adanya rute jaklingko,jakarta utara bantu banget rute jakarta lingko
Paling bner emg klo kena weekend kudu pke jaklingko,benar memang kalau kena weekend pakai jakarta lingko
Jaklingko ngebantu bgt sih udah mau 4 bulan di jkt gak punya kendaraan pribadi enjoy aja pake public transport,jakarta lingko ngebantu banget bulan jakarta punya kendara pribadi enjoy pakai public transport
Transjakarta min klo naik jaklingko bisa pake emoney kah Misal emoneynya baru harus tap di stasiun atau bisa langsung dipake,transjakarta kalau naik jakarta lingko pakai emoney misal emoneynya baru stasiun langsung pakai
Klau jaklingko berarti tanah adat Jakarta donk y,klau jakarta lingko arti tanah adat jakarta donk
Lbs Klau skrg kartu jaklingko y,klau sekarang kartu jakarta lingko
anies pas jadi gubernur apa sih warisannya orang yg ngomong gini kayanya ga pernah kenal sama angkot jaklingko,anies jadi gubernur waris orang bicara gin kayak kenal angkot jakarta lingko
Setujuuu Andai ada macem jaklingko gituuu kan ga perlu bawa kendaraan sampe stasiun,setujuuu andai macam jakarta lingko gituuu perlu bawa kendara stasiun
hidup tap in tap out tp Rp 0 sama kyk angkot jaklingko gratis syaratnya cuma punya kartu jaklingko emoney,hidup kayak angkot jakarta lingko gratis syarat punya kartu jakarta lingko emoney
Hai kak mengenai saldo terpotong 2 kali silakan laporkan ke nomor Customer Care JakLingko yang dapat di hubungi Whatsapp 0812 6000 1440 Phone 021 29223034 Email customercare co id Terima kasih RR,kena saldo potong kali sila lapor nomor customer care jakarta lingko hubung whatsapp phone email customercare terima kasih
gue cinta angkot TP ANGKOT BOGOR NO angkot jaklingko is yes karena terobos terus jalan terus kapan ya angkot bogor dibikin sistem kayak jaklingko uhuk,cinta angkot angkot bogor angkot jakarta lingko terobos terus jalan terus angkot bogor bikin sistem jakarta lingko uhuk
oiya jaklingko itu gratis Tj nya bayar 3500 murce bukan aku sungguh menantikan ada kendaraan macam ni lah di subay yg menjangkau all area ya yg sampe masuk2 gang gitu niscaya warga subay akan semangat naik kendaraan umum,oiya jakarta lingko gratis trans jakarta bayar murce sungguh nanti kendara subay jangkau area sampai masuk gang gitu niscaya warga subay semangat naik kendara umum
pagi ini memutuskan buat ga naik motor karna jakarta lagi ujan deres batttt drpd di jalan kuyup saya memilih utk mari naik tj dan angkot Dari tempat aku tinggal aku naik jaklingko dulu Buat temen2 subay fam yg belom tau jaklingko itu kaya wira wiri nya surabaya,pagi putus naik motor jakarta ujan deres batttt jalan kuyup pilih mari naik trans jakarta angkot tempat tinggal naik jakarta lingko teman subay belum tahu jakarta lingko kaya wira wiri surabaya
Ingin menaiki jaklingko udah tinggal selangkah mobilnya pergi Orang di belakang gue misuh2 lucu ke pak supir yang lain Kenapa cepet banget jalannya pak Lama banget nunggunya kan aku capek mau tidur Jadi merasa sangat introvert wkwkwkw,naik jakarta lingko tinggal selang mobil pergi orang belakang misuh lucu supir cepat banget jalan banget nunggunya cape tidur jadi rasa introvert wkwkwkw
BUAT LO SEMUA YANG PAKE EMONEY FLAZZ KARTU APAPUN SELAIN JAKLINGKO KATA GW GANTI KARTU KE YANG BARU GK TAU YG BARU APAAN GK GUNA BGT NIH SISTEM TJ TIBA2 UDAH GK BISA BACA KARTU LAMA TERUS GK ADA PENGUMUMAN APAPUN DARI PIHAK Transjakarta DAN GK ADA SOLUSINYA,kamu pakai emoney flazz kartu apa jakarta lingko kata ganti kartu baru tahu baru banget sistem trans jakarta tiba baca kartu terus umum apa pihak transjakarta solusi
Hoi check tapper kalian itu tidak pernah dicek atau gimana sih setiap tapping masuk kepotong keluar kepotong dalam satu trip Petugas di lapangan ga ngerti kalo ditanya 3 500 perak kalo tiap hari kepotong 2x dalam 1 trip itu sangat ngehek,check tapper cek bagaimana tapping masuk potong keluar potong satu trip tugas lapang erti tanya perak hari potong trip ngehek
Tolong dong angkot angkot ini dibikin kayak jaklingko Tertib gitu loh gak asal ngelanggar perlintasan id hrt,angkot angkot bikin jakarta lingko tertib gitu asal ngelanggar lintas
Setahun naik jaklingko masih aja sering nemu supir yang beda beda Makin ngerti kalo watak orang tu beragam bangef,tahun naik jakarta lingko nemu supir beda beda erti watak orang agam bangef
Sapta5 Jaklingko ditiru Malaysia,sapta jakarta lingko tiru malaysia
Jkt di era anies utk transport gue akuin keren sih dgn dia cetuskan jaklingko krn bener2 helpful bgt,jakarta anies transport akuin keren cetus jakarta lingko benar helpful banget
HEMAT ONGKOS HAMPIR 50 DENGAN TARIF INTEGERASI JAKLINGKO Informasi di atas 100 HOAKS Selengkapnya di hoaks jalahoaks jakarta,hemat ongkos tarif integerasi jakarta lingko informasi atas hoaks lengkap hoaks jalahoaks jakarta
coba kartu jaklingko bisa jadi ld eline jaewon angyeong,coba kartu jakarta lingko jadi eline jaewon angyeong
Padahal dari Lebak Bulus ke Pinang Ranti gampang tinggal naek 7A turun di Kp Rambutan terus tinggal naik Jaklingko 19 atau 71 itu ke Pinang Ranti,lebak bulus pinang ranti gampang tinggal naik jadi orang turun rambutan terus tinggal naik jakarta lingko pinang ranti
YA INILAH NEGARA Indonesia gt NEGARA CARUT MARUT INDONESIA IS A CHAOTIC COUNTRY ASN LURAH KADES GUBERNUR MENTERI WAMEN TNI POLRI WALIKOTA RUKUNTETANGGA RUKUNWARGA CAMAT JURUMUDITRANSJAKARTA JAKLINGKO amp GOJEK GRAB gt JD MALING,negara indonesia negara carut marut indonesia jadi orang chaotic country lurah kades gubernur menteri wamen polri walikota rukuntetangga rukunwarga camat jurumuditransjakarta jakarta lingko gojek grab jadi maling
Transjakarta Min kalo jaklingko yg lewat daerah buaran lampu merah Dunkin Donut itu no berapa ya Thx,transjakarta jakarta lingko lewat daerah buar lampu merah dunkin donut terimakasih
jaklingko yg angkot mikrolet itu byr nya pake kartu jaklingko busway transjkt beli tiket cukup tap kartu flazz bc4 emoney bn1 tap cash kalo masih bingung bisa tanya Transjakarta,jakarta lingko angkot mikrolet bayar pakai kartu jakarta lingko busway transjkt beli tiket cukup kartu flazz emoney cash bingung tanya transjakarta
Busway tj transjakarta kaga pake tiket tinggal tap emoney pas masuk dan keluar Jaklingko kayaknya mah yg angkot itu,busway trans jakarta transjakarta pakai tiket tinggal emoney masuk keluar jakarta lingko seperti angkot
Mau dibikin kek jaklingko juga lier da di bandung mah banyak angkot yang kepemilikannya perorangan,bikin kayak jakarta lingko lier bandung angkot milik orang
Hallo Transjakarta apa ada opsi dari stasiun rajawali ke springhill office tower kemayoran dgn menggunakan jaklingko Terima kasih,hallo transjakarta opsi stasiun rajawali springhill office tower mayor guna jakarta lingko terima kasih
KawanJaKita mau 5 kartu Jaklingko Yuk sini ikutan Caranya gampang Screenshot dan jelaskan arti kota Jakarta dari kata yang kalian dapatkan pada video di atas Lalu post di stories dan jangan lupa mention dan ajak 3 teman untuk ikutan,kawanjakita kartu jakarta lingko ikut cara gampang screenshot jelas arti kota jakarta kata dapat video atas post stories lupa mention ajak teman ikut
Dibikin kayak jaklingko aja,bikin jakarta lingko
Tanah abang udah rapi jadi semrawut lagi pulomas kelapa gading kampung melayu tadinya cepet surut sekarang balik kesebelumnya janji buat perumahan jadinya rusunawa mana tadinya buat yang umr sekarang minimal gaji 7jt tp harus diakui program yang bagus jaklingko,tanah abang rapi jadi semrawut pulomas kelapa gading kampung melayu cepat surut balik belum janji rumah jadi rumah susun sewa minimal gaji aku program bagus jakarta lingko
Apa bedanya Listrik vs BBM sama2 macet anjir urusin noh transportasi umum jaklingko jalurnya ga lengkap krl caos kereta jalurnya banyak belom ke shuttle semua daerah angkot pedesaan masih belum dapat peremajaan amp fasilitas huh tokai tokai aturan tokai,beda listrik macet urusin transportasi umum jakarta lingko jalur lengkap caos kereta jalur shuttle daerah angkot desa remaja fasilitas atur
Ya Tuhan terimakasih gw pulang pergi kantor ga harus naek KRL Cukup jaklingko gratististis dan tydack berdesakan,tuhan terimakasih pulang pergi kantor naik cukup jakarta lingko gratististis tydack desa
Aku tiap ngejar jaklingko,ngejar jakarta lingko
naik jaklingko dr uki langsung turun sebrang gang rumah,naik jakarta lingko langsung turun sebrang gang rumah
Hai kak silahkan naik bus rute 9D turun di Hlate Kuningan barat kemudian dilanjutkan dengan bus koridor 9 arah Pinang Ranti turun di BNN transit dengan bus koridor 7 arah KP Rambutan dan dilanjutkan dengan layanan jaklingko JAK 73 Terima kasih WY,silah naik rute turun hlate kuningan barat lanjut koridor arah pinang ranti turun transit koridor arah rambutan lanjut layan jakarta lingko terima kasih
Berawalan dari gua naik jangliko gua gak tau kalau jaklingko itu ada pengelihan karena gua sibuk main hp akhirnya gua dimarahi berhenti tiba tiba dan supir itu bilang hati hati lu mau tanggung jawab Tanggung jawab apaan dah dalam hati tapi akhirnya gua bilang sorry bang,awal naik jangliko tahu jakarta lingko kelih sibuk main handphone marah henti tiba tiba supir bilang hati hati kamu tanggung jawab tanggung jawab hati bilang maaf
Gajelas bgt nih emg the power of women jaklingko cuma muat 3 dan 5 org masih aja dipaksa buat 4 amp 6 org,gajelas banget memang power women jakarta lingko muat orang paksa orang
JAM SEGINI MSH DI PS MINGGU TEBAKTEBAKAN AKU SAMPE RUMAH JAM BERAPA DGN NAIK BASWE JAKLINGKO DENGAN KEADAAN MACETNYA SIMATUPANG,gin minggu tebaktebakan rumah naik baswe jakarta lingko ada macet simatupang
Mau hemat nunggu jaklingko seabad berakhir naik angkot pas naik angkot malah ga sampe tujuan Nangis,hemat nunggu jakarta lingko abad akhir naik angkot naik angkot sampai tuju menang
Sumpah sebel banget Lu tau sepanjang flyover bintaro gue diklaksonin sama angkot jaklingko jurusan pesanggrahan Padahal depan gue ada mobil Dan macet tp masih bisa jalan Mana flyover kalo dari arah veteran ke bintaro kan aspalnya ada tambalan Jadi jedak jeduk jalannya,sumpah sebel banget kamu tahu flyover bintaro diklaksonin angkot jakarta lingko jurus pesanggrahan mobil macet jalan flyover arah veteran bintaro aspal tambal jadi jedak jeduk jalan
Transjakarta Hi jaklingko Saya tau sih naik ini gratis Tp masa musti kaya ugal2an gitu nyetirnya ga bisa kah yg bener normal ky pengendara mobil biasanya gt bkin mabok bgt,transjakarta jakarta lingko tahu naik gratis masa mesti kaya ugal gitu nyetirnya yang benar normal kendara mobil bkin mabok banget
Serius deh jaklingko ngasal bgt nyetirnya lebih parah dr metromini jaman dulu Mabok banget saya tolong pengemudinya pada udah lulus ujian mengemudi blm ya Rasanya kaya naik mobil org yg belom punya SIM ngebut Mabok poll,serius jakarta lingko ngasal banget nyetirnya parah metromini jaman mabok banget mud lulus uji kemudi rasa kaya naik mobil orang belum punya ngebut mabok poll
Kalo yg jakcard lawas ga bs sam buat jaklingko yg ane pake ke ragunan buat jogging kemarin itu ga bs krn lawas,jakcard lawas bisa jakarta lingko yang pakai ragunan jogging kemarin bisa lawas
georgee bravo b Ini bener jenisnya mungkin banyak dan gratis tapi gak kayak dulu yang baru beberapa menit pergi udah dateng yang baru lagi Jadi gak bakal nunggu lama Temen kerja gue ada yang sebenarnya dia bisa pulang naik jaklingko kan enak gratis tapi dia gak mau karena lama Mending ojol,georgee bravo bahasa benar jenis gratis baru menit pergi dateng baru jadi bakal nunggu teman kerja pulang naik jakarta lingko enak gratis lebih baik ojol
LA AAMIINN didoakan dari segala sisi,aamiinn doa sisi
Transjakarta dan jawaban jaklingko malah disuruh hubungi pt transjakarta bingungin kan udh sering kepotong 2x aldo saldo ga balik balik malah di pimpong padahal seluruh transaksi transjakarta yang mengelola adalah jaklingko,transjakarta jawab jakarta lingko suruh hubung transjakarta bingungin udah potong aldo saldo balik balik pimpong transaksi transjakarta kelola jakarta lingko
Transjakarta beberapa kartu sudah saya lapor ke jaklingko via whatsapp di januari dan februari baru diproses kemarin juni tgl 12 jawabannya ya betul 3 bulan lebih untuk sekedar mengetahui report saldo terpotong 2x dan hasil reportnya adalah transaksi yang saya laporkan dicek tidak ada,transjakarta kartu lapor jakarta lingko whatsapp januari februari baru proses kemarin juni tanggal jawab betul bulan dar tahu report saldo potong hasil reportnya transaksi lapor cek
Transjakarta saya kurang lebih sudah 4 kartu elektronik baik yg ada logo jaklingko maupun yg kartu non jakingko dari flazz gen 2 emoney jaklingko emoneu non jaklingko sampe brizzi semuanya pernah terpotong dua kali,transjakarta kurang kartu elektronik baik logo jakarta lingko kartu jakingko flazz emoney jakarta lingko emoneu jakarta lingko brizzi potong kali
Transjakarta Dulu mesti berlogo jaklingko smp penumpang di suruh turun kl g ada,transjakarta mesti logo jakarta lingko tumpang suruh turun kalo
